,content,score,timestamp
99,Complaint resolved on time. Very good initiated by SBP,5,2024-11-04 08:59:24
100,Very useful,5,2024-11-04 00:04:02
101,Very helpful,5,2024-11-03 23:31:46
102,"Great app, highly recommended. The complaint once made are effectively solved.",5,2024-11-03 22:33:35
103,Useful app and easy to help 👍,5,2024-11-03 22:27:34
104,Please reactive my account from jazzcash,5,2024-11-03 14:58:13
105,Highly recommend,5,2024-11-02 11:00:31
106,Exceptional,5,2024-11-01 23:02:29
107,Very good app. Easy to use. Highly recommended,5,2024-11-01 21:50:56
108,Very useful app 👍🏻,5,2024-11-01 20:08:09
109,Easy to use and very helpfull.,5,2024-11-01 18:52:28
110,i had a wonderful experience on this app. highly recommended,5,2024-11-01 17:40:16
111,Great app,5,2024-11-01 16:49:57
112,perfect,5,2024-11-01 10:32:47
113,Good initiated,5,2024-11-01 10:30:05
114,Easy to use and great for quick help!,5,2024-11-01 09:31:49
115,"Nice app, Good experience 👍🏻, easy to use , highly recommend.....",5,2024-11-01 06:59:02
116,Easy to use and very helpful app.,5,2024-10-31 22:05:47
117,sadapay bank name not show,1,2024-10-30 15:05:11
118,Successfully complain resolved,5,2024-10-30 11:16:13
119,Easy to use,5,2024-10-30 10:47:30
120,Easy application,5,2024-10-30 10:33:19
121,successful lodge complaint,5,2024-10-30 09:24:17
122,Sliw in reply,1,2024-10-29 17:04:23
123,I hope this state Bank application work properly without any corruption and do his job properly best wishes,5,2024-10-29 16:02:47
124,Average app with routine and clerical respondings.,3,2024-10-26 21:12:31
125,"After Filling the details. Receive confirmation message as a number after putting that number application should give confirmation instead confirmation Got closed. Again when try to do the same, application responded the email has been in used. Then I tried to logged in assumed account already been created then I get a message authentication is failed and same time I get an email message you have logged in to SBP portal. Please try to fix the app.",1,2024-10-25 11:04:18
126,(Exception occurred in get approval List) i am getting this error while submitting issue i tried every ways to resubmit but its not working worst application,1,2024-10-25 00:23:21
127,Itni chwal ap manna Ni daki na sigin ho rhi ha na signup,1,2024-10-23 15:35:02
128,لاگین نہیں ہو رہا,5,2024-10-22 21:45:25
129,Sunwai is messaging/coordinating post office app and do not bother to look into the greivances of people rather just do lipping on the responses of banks without even reading/understanding. It closed my complaint even without Bank's response.,1,2024-10-22 10:15:59
130,Easy to use,5,2024-10-21 20:41:23
131,Very nice app.good respond.very good initiative.easy to use.A great app for complaints Relating Banking issues.i highly impressed.,5,2024-10-17 23:45:11
132,kese fazool development ha. 1984 ki app lagti ha,1,2024-10-14 23:51:28
133,Joke 🤣 App is not working properly,1,2024-10-14 06:56:20
134,Only verified customer can perform transaction,1,2024-10-12 14:00:46
135,This App is joke. I am unable to signup. Face error Authentication failed and the same time receive confirmation SMS of success login. I tried to contact support via email and email delivery fails.,1,2024-10-12 00:43:18
136,Complaint regestration error not regestered,1,2024-10-11 21:10:57
137,Unable to attach files with complaints and most of complaints are marked as resolved but banks reply with irrelevant responses. Please look into this.,1,2024-10-09 20:23:04
138,File upload feature does not work.,1,2024-09-28 11:58:11
139,Allahamdulillah problem solved,5,2024-09-26 15:08:56
140,A way for SBP to run away from their duties One can't even login to it. And they close the tickets without resolving the actual issue. Another non performing dept deapite earning multi fold profits in 2024. Shame on you,1,2024-09-25 03:39:06
141,Baad Experince,1,2024-09-11 14:03:25
142,Otp is not working,1,2024-09-09 06:25:50
143,contain spyware .Avast detected it,1,2024-09-06 21:53:57
144,Nice experience with sunwai 100% solve my issue my bank is blocked due to dispute case but after sunwai solve my issue thnx u sunai love u,5,2024-09-05 17:14:37
145,یہ ایپلی کیشن کسٹمر کی شیکایت کو حل کروانے کے لیے بنائی گئی ہیں لیکن اس کا استعمال اپنا وقت ضائع کرنا ہے مجھے بہت افسوس ہوا ہے ایک ہی شیکایت کو حل کروانے میں ناکام رہی ہیں This application is designed to resolve customer complaints but using it is a waste of time I am very sorry to have failed to resolve a single complaint.,1,2024-09-05 16:17:18
146,Sunwai by State bank is the best app for resolution of your issues with your bank. They resolved my issue by contacting branch within 3 days. I'm 100% satisfied great work by SBP,5,2024-09-04 16:13:54
147,Absolutely very helpful app thanks SBP My complain solved in one day 👍😊,5,2024-08-30 17:09:02
148,Great app thank you Soo much.its solve my problem which I face during 70 days with in 2 days great experience,5,2024-08-30 12:26:17
149,This is extremely poor application . The Password need to be in specific format . The one time code doesn't always work .,1,2024-08-29 11:29:17
150,"Useless, all the terms of this app in the favor of bank not for customers.",1,2024-08-29 09:18:31
151,"Not working, wasting time",1,2024-08-22 20:15:26
152,Complant approval error,1,2024-08-20 21:42:18
153,not working app,1,2024-08-17 11:27:53
154,Very poor app. its have many problems login is major problem and otp problem its developer is very third class,1,2024-08-13 17:44:31
155,"very useless app, otp not recieved even a tried again and again .",1,2024-08-10 09:43:56
156,Customer privacy beached app,1,2024-08-10 07:50:51
157,What a pathetic app.never get registered.app has alot of bugs in registration,1,2024-08-05 10:34:13
158,Attachment Option not Working. please fix it,2,2024-08-03 15:49:49
159,Unable to add images/attachment or open camera even permission is granted manually.,1,2024-08-03 09:08:12
160,Very effective. My complaint solved only in one day. Highly impressed,5,2024-08-02 06:46:11
161,"An app made by exteemely outdated developers, in lone with countru standards. Authentication doesnt work, web doesnt work. There needs to be another portal to complaint on sbp for this portal. Clearly they created this just as a check box, im confident no one even looks into it",1,2024-08-01 21:23:50
162,Yes of course this is a good initiative of SBP but as usual and like other institutions there is no result of complaint. no matter resolved and complaint closed.,1,2024-07-31 11:44:32
163,"Not working, Authentication failed!",1,2024-07-30 02:54:03
164,Useless App its not verifying OTP...,1,2024-07-26 15:27:34
165,"Unable to Add images/attachment even permission is allowed manually. Unable to scroll down complaint data, I have written a brief data in my complaint but when I open it from 3 line button, it doesn't scroll down. Device: Pixel 5 (redfin) OS Version : Android 14 June Security Patch.",2,2024-07-21 16:40:48
166,Very good initiative. Easy to use. Very effective. Highly impressed.,5,2024-07-20 12:34:47
167,Very useful application,5,2024-07-20 12:29:54
168,Worst application,1,2024-07-20 12:14:37
169,fantastic app,5,2024-07-19 09:50:19
170,Great service,5,2024-07-19 09:48:46
171,Amazing service. My issues with HBL were solved,5,2024-07-18 21:25:35
172,Absolutely 💯 work quick response thanks SBP,5,2024-07-14 14:48:23
173,Worst Application ever There is no resolution provide even they don't like to single rply,1,2024-07-12 11:10:00
174,Nice app❤️❤️❤️❤️,5,2024-07-10 21:52:02
175,Nice app,5,2024-07-10 21:50:29
176,A great intiative taken by sbp nice app,5,2024-07-10 18:22:51
177,Bakwaas app hai after complain bank ny Kya remarks diye hain Kuch pta Nahin chalta na hi complain pori trah open hoti hai,1,2024-07-10 17:49:08
178,Issue resolve in 15 days . Welldone app,5,2024-07-10 16:48:39
179,Very good service,5,2024-07-09 08:01:27
180,Rubbish,1,2024-07-07 14:07:06
181,جب ھمیں کوئی فائلز تصویر یا ویڈیو بھیجنا ھو تو وہ اٹیچ نھیں ھو رھی اور اس ایپ کے ذریعے ھمارے مسئلے حل نھیی کیے جا رھے,2,2024-07-04 09:03:26
182,sunwai ap our en ki team ko mera salaam hai sir mera jaZ cash acount bnd tha 3 month say sunwai ap valon ne ective krviya thankyouu sir thank you soo much,5,2024-07-03 00:04:59
183,"This app is not working, whenever I log in, it says authentication failed",1,2024-06-30 16:48:37
184,Very Bad Experience,1,2024-06-29 08:25:32
185,Nice app my issue resovled with 10 days,5,2024-06-23 17:44:20
186,What is this???? During sign up they always says that CNIC not found????? I think the management is sleeping. Thired class app,1,2024-06-22 22:46:54
187,"Got error during signup ""User CNIC not found"" Seriously?",1,2024-06-22 05:15:09
188,"A great app to lodge complaints relating banking issues, but I've facing problem while Signing Up the app that there appears ""User CNIC Not Found"". Plz guide to Sign Up the app. Thanx",4,2024-06-18 23:24:00
189,App thori slow ha but mera bank ka issue within 2 weeks solve ho gia 🫡🫡,5,2024-06-11 17:53:01
190,This app is not working. I was download this app and created my account. After create my account I am logged in but app is not logged in. I am trying many time but app is not working.,1,2024-06-11 01:28:11
191,I downloaded this app to lodge a complain about Standard chartered but it's been more than 30 minutes I am unable to verify my account. Ab kisko complain karu ? Pakistan L taraqi karega ch developer bithaye hue h SBP ne.,1,2024-06-11 01:25:19
192,App doesn't work Pathetic,1,2024-06-10 17:59:04
193,اکاؤنٹ بنانے کے لئے او ٹی پی کی تصدیق نہیں ہو رہی,1,2024-06-08 20:15:11
194,"I've installed your App, But when I start sign up they sent me OTP I inter that OTP App start buffering and said try again,I continually try several times but all in vain.... I go back and tried to sign up again now App says this email is already in use....I tried other email the app said this No.is already in use.... What should I do??? If my email is already in use why I don't have username? Disgusting..terrible App",1,2024-06-06 01:07:44
195,"No option for microfinance banks e.g. Sadapay, NayaPay. I have complaint against SADAPay but unable to proceed because its not listed.",2,2024-06-04 07:14:42
196,Good work and immediately response Good quality,5,2024-06-02 22:35:23
197,Terrible App i can't select the Bank and Complian Types Never Download this Third Class App,1,2024-06-02 14:52:38
198,I would like to say thanks. My jazz cash account was suspended from April 2020. My issue was not resolved by bank after to many times visited bank. Butt after lunching complaint on Sunwai my account is activated now. It takes some time about 3 months. Butt worth it.,5,2024-05-31 09:05:47
199,"App not accepting OTP while trying to register due to SOMETHING WENT WRONG, PLEASE TRY AGAIN. Bad Experience",1,2024-05-28 07:14:05
200,Bad app.if you submit complaint against bank .there is no response or reply from bank and they put statue resolved while the issue is still pending.,1,2024-05-24 17:17:34
201,"Facing a sign up glitch, tried multiple time but could not sign up, sunwaii ki complaint ab ksko kren ?",1,2024-05-17 21:45:34
202,Chutiyaa aapp .. trying to log in lekin log in he nai ho raha ...,1,2024-05-17 09:33:37
203,Also a stupid app like all stupid app Pakistani,1,2024-05-16 10:43:13
204,"Bogus application after long time waiting department close the complaint with remarks issue resolve but issue still presets no one in Pakistan for the poor public,😭😭😭😭😭",1,2024-05-16 07:29:24
205,"Unable to login, tried several times.",1,2024-05-12 20:05:56
206,"Very useless app. Automatically deleted my complaint and sent me msg thqt, your complaint is resolved by your Bank",1,2024-05-12 11:22:51
207,Very bad response,1,2024-05-11 03:54:43
208,very unprofessional without confirming that the issue is resolved . computer generated email received that your issue is resolved. but the issue is still not resolved 😡,1,2024-04-30 16:20:25
209,جناب عالی دل خوش ہوا نظام دیکھ کر لیکن ایپ بلکل بکواس ہے ورق خراب ہے ایپ کی کمپلین کریں تو کچھ نظر ہی نہیں آتا,1,2024-04-30 01:22:51
210,Third class application,1,2024-04-28 10:26:57
211,Fazool,1,2024-04-27 06:23:42
212,This app didn't solved any issue.,1,2024-04-24 06:39:06
213,بالکل بیکار ایپ ہے کمپلین رجسٹر کرنے کے بعد کچھ بھی شو نہیں ہوتا اگر کمپلین کا سٹیٹس دیکھنا ہو تو لاگ آؤٹ کر کے دوبارہ لاگ ان کرنا پڑتا ہے اس کے علاوہ اور بھی خامیاں ہیں,1,2024-04-23 02:11:49
214,"Can't even sign up, because last is mandatory and I have have single name on my CNIC.",1,2024-04-22 19:14:08
215,Koi Sharam kar lo Complaint Resolved karte ho nahin,1,2024-04-21 09:29:37
216,Bad service login he nahi ho raha,1,2024-04-20 08:48:42
217,"Very Bad Application, unable to make Registration. No customer care or help available to rectify the problem",1,2024-04-19 18:29:38
218,"Made a complaint regrading non availability of HBL staff but no action was taken, only formality",1,2024-04-18 22:48:48
219,Useless app Only Time waste because no bank give any Response on complaint on this App. And App show complaint as a resolved.,1,2024-04-15 14:24:05
220,"In This App no any Option for SBP-BSC, If some one have issue in Prize Bonds so how they lodge complaint? Please Also Add name of State Bank BSC, and National Saving Bank as well.",1,2024-04-10 17:39:25
221,"Pathetic service. The app itself doesn't give you much option, and if you forget, the recovery/reset process is dysfunctional. As for complaints, they send your complaint to the bank it is against, and if the bank close it, it's closed. SBP has zero backing for the client. Useless.",1,2024-04-08 17:43:08
222,App has so many issues. First UI color is not user friendly. 2nd after clicking the exist button user can still access tha dashboard without logging again. Third error msgs are not user understandabl,1,2024-04-07 04:34:49
223,Kuch ni hoga sb fazol hai,1,2024-04-06 18:31:25
224,Unable to submit complaint Terrible app.,1,2024-04-06 16:30:44
225,I just read reviews and uninstall this app🙃And thought that👀in Pakistan our issues can not solved by mobile 📱 applications❤️‍🩹,1,2024-04-06 04:17:41
226,Stuck on OTP. It shows how much of a helpful this platform will be! You're not even responding to the reviews!,1,2024-04-04 21:25:23
227,Easy Paisa Jaz cash ka option be de do.. Aur chain destibute ka option be add kro,2,2024-04-03 21:52:06
228,the is not lunch yet? when select bank no cities option pop up.?,1,2024-04-03 17:03:57
229,"Extremely Buggy Application. Firstly, It Takes 5 Minutes After Entering OTP. Keep rotating. Finally, After successfully Signup and Select General Complaint. After selecting the bank the city isn't loading and branch name isn't loading.",1,2024-04-01 22:15:32
230,"Forget password not working, entered new OTP than screen stuck",1,2024-03-25 23:18:41
231,It's working well . Very good portal for us . Kindly add national saving banks in list . NSC not in listed .. thanks,4,2024-03-25 04:03:21
232,"Third Class as usual. I lodged a complaint after about a month I got response my complaint has been resolved while the issue was there at its place and @sunwai marked closed without any comment. How can we expect from like services mainly from this platform? The App UI is very idiotic when you login it shows 0 complaints you have to log out and login again to get access. And full if bugs. Govt should be at least in IT matter honest and hire some professional developers, not third class like you.",1,2024-03-22 16:11:10
233,I have never been able to login. Always gives the error message. Tried changing password. Still error message.,1,2024-03-22 12:03:35
234,"Useless app, can't even lodge a complaint.",1,2024-03-21 20:09:02
235,its developer should be suspended for designing such type of third class apps . Govt gave him full money but he bought third class cheap hosting server. It is not working properly,1,2024-03-21 17:35:16
236,سٹیٹ بینک آف پاکستان ۔۔ کم از کم بینک کی یہ بھی پالیسی بنا لو رقم ایک اکاؤنٹ میں فراڈ آ تی ہیں ۔اپ آ گے سب اکاؤنٹ بند کر دیتے ہو ۔۔۔دوسری بات جتنی رقم اکاؤنٹ میں اتی ہے آپ اس سب پے لگا دیتے ہو۔۔ اور اگر 500 کا بھی مسئلہ ہو آپ پورا 2لاکھ اگر اکاؤنٹ میں موجود ہو وہ بھی بلاک کر دیتے ہو۔۔۔ جو شکایت کرتا ہے اپ نے کبھی اس سے بیان حلفی تک نہیں لیتے کہ یہ رقم اپ نے خود بھیجی ہے۔۔ یا نہیں ۔۔ بینک کو سب پتا ہوتا ہے رقم کیسے گئی ہیں ۔۔ لیکن شکایت کرنے والے سے ایک سوال تک نہیں پوچھتے ہو ۔,1,2024-03-21 13:13:49
237,"بہت اچھی اور اعلیٰ ایپلیکیشن ہے!💕 یار میں کافی ریویوز پڑھ رہا ہوں سبھی تنقید سے بھر پور ہیں ، لیکن الحمدللہ میں نے اس ایپ کو پہلی دفعہ انسٹال کیا تھا اور اپنی درخواست شکایت کی صورت میں جمع کروائی تھی جس کے بعد مجھے میسج آیا کہ آپ کا مسئلہ سات کاروباری دنوں میں حل کر دیا جائے گا,ٹھیک گیارہ دن بعد میرا مسئلہ حل ہوگیا، بہت اچھی ایپ ہے اس ضرور ٹرائے کریں ،پاکستان میں آنلائن یہ صحیح کام کر رہی ہے",5,2024-03-19 17:33:04
238,Not solve my problem,1,2024-03-17 13:20:46
239,Unable to receive OTP on app awa on web,1,2024-03-15 14:43:17
240,"Terrible app, i am trying to create a account and have tried every password combination (numeric,alpha numerical) but none is working",1,2024-03-14 20:30:05
241,Thanks satate bank of Pakistan,5,2024-03-14 00:30:32
242,"So Poor and pathetic. Trying to login, but I can't even I received login SMS. Very bad experience.",1,2024-03-12 22:45:02
243,"Keep telling that ""Username/Password is incorrect"" while it is correct. Upon recovering Password, it keeps telling me, ""Object reference is not set to an instance of an object."" Would you solve it or not?",1,2024-03-10 00:01:36
244,"Not getting OTP on SMS and it takes 5 minutes to get OTP on Email Biggest issue Other than that, salute to the SBP people who thought about doing this for our convenience and managing the complains efficiently God bless you",2,2024-03-08 00:59:36
245,"Very bad app , otp is pending since last 2 days, no chance to register complaint, very low standard app.",1,2024-03-07 09:57:08
246,Ya boht achi app ha ap ka masla boht jald hal ho jata ha,5,2024-03-05 13:51:31
247,Full baggy. Sometimes number of complaints occurred some time not.,1,2024-03-04 16:21:46
248,Otp aa rhe he last me kah rha he k something went wrong is ka kia matlb he,5,2024-03-02 18:02:28
249,Ham to yah chahte Hain ki hamara Pakistan digital currency mein change ho jaaye Jaise ke Raat ID QR code aur merchant machine POS for business shop ke paas honi chahiye hamara Pakistan digital Hona chahie Aur jelly currency se chhutkara hamen milana chahie aur Mani laundering aur is Tarah ke Jo bhi galat kam hai unse hamen bachana chahie Pakistan jindabad,1,2024-03-01 15:22:41
250,Third class application created by SBP. As there is no use of it. When you provide all details of your complaint and then there is no option for lodge a complaint. They redirect you at main page without lodging a complaint. Pathetic app and overall worst system for your right.,1,2024-03-01 11:59:07
251,"Have spent 1 hour to lodge a complaint, and, the complaint has been submitted and a complaint Number has been popped up, and now there is no comolaint in the app. Waste of time and energy.",1,2024-02-29 12:22:45
